Capitol Trades - Top Traded Issuers,,,,,
Issuer,Ticker,Total Trades,Buys,Sells,Politicians Trading
NVIDIA Corporation,NVDA:US,12,6,6,5
Alphabet Inc,GOOGL:US,11,6,5,7
Apple Inc,AAPL:US,11,4,7,7
Microsoft Corp,MSFT:US,9,6,3,7
The Goldman Sachs Group Inc,GS:US,8,4,4,3
MH BUILT TO LAST LLC,N/A,8,3,5,1
BITWISE BITCOIN ETF,BITB:US,6,6,0,1
Unitedhealth Group Inc,UNH:US,6,2,4,3
Eli Lilly and Co,LLY:US,5,4,1,4
Amazon.com Inc,AMZN:US,5,4,1,2
Applied Materials Inc,AMAT:US,5,5,0,3
ELCM2 LLC,N/A,5,2,3,1
MasTec Inc,MTZ:US,5,3,2,1
Wells Fargo & Co,WFC:US,5,5,0,2
JPMorgan Chase & Co,JPM:US,4,4,0,4
COMMODORE CAPITAL DOMESTIC LP,N/A,4,0,4,1
ARES CAPITAL CORPORATION,ARCC:US,4,4,0,3
SUPER MICRO COMPUTER INC,SMCI:US,3,2,1,2
Capital One Financial Corp,COF:US,3,3,0,1
The Coca-Cola Co,KO:US,3,2,1,3
Meta Platforms Inc,META:US,3,3,0,3
Intuit Inc,INTU:US,3,3,0,2
Primo Water Corp,PRMW:US,3,0,3,1
Formula One Group - The Liberty Media Group,FWONK:US,3,0,3,1
PepsiCo Inc,PEP:US,3,0,3,3
Westinghouse Air Brake Technologies Corp,WAB:US,3,3,0,1
US TREASURY BILLS,N/A,2,2,0,1
Boston Scientific Corp,BSX:US,2,1,1,2
Lam Research Corp,LRCX:US,2,1,1,2
Elevance Health Inc,ELV:US,2,1,1,2
Chevron Corp,CVX:US,2,2,0,1
Hilton Worldwide Holdings Inc,HLT:US,2,1,1,2
Intuitive Surgical Inc,ISRG:US,2,2,0,1
ServiceNow Inc,NOW:US,2,2,0,1
LUMINAR TECHNOLOGIES INC,LAZR:US,2,0,2,1
Stride Inc,LRN:US,2,0,2,1
Iron Mountain Inc,IRM:US,2,0,2,1
Dell Technologies Inc,DELL:US,2,0,2,1
CREDO TECH GROUP HOLDING LTD,N/A,2,0,2,1
Coherent Corp,COHR:US,2,0,2,1
Applied Industrial Technologies Inc,AIT:US,2,0,2,1
DEPARTMENT OF STATE PENNSYLVANIA,N/A,2,2,0,1
Zoetis Inc,ZTS:US,2,1,1,1
Visa Inc,V:US,2,2,0,1
Chipotle Mexican Grill Inc,CMG:US,2,0,2,2
Berkshire Hathaway Inc,BRK/B:US,2,1,1,2
Oracle Corp,ORCL:US,2,0,2,2
Adobe Inc,ADBE:US,2,1,1,1
Advanced Micro Devices Inc,AMD:US,2,2,0,2
Howmet Aerospace Inc,HWM:US,2,2,0,1
